year,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
1921,33.61,37.74,45.01,73.31,212.11,391.39,293.24,157.77,112.06,75,50.89,29.62
1922,40.78,56.42,53.48,93.14,162.86,321.93,230.26,166.49,110.33,72.84,48.99,42.42
1923,37.5,63.25,87.35,64.02,251.42,197.94,259.89,122,89.86,65.06,43.98,44.24
1924,55.38,62.81,100.57,141.7,338.69,396.58,232.76,165.02,129.86,93.14,60.57,47.52
1925,49.25,57.89,77.16,108.35,150.77,401.85,225.16,130.81,103.77,86.92,55.99,44.67
1926,34.47,37.58,70.11,101.17,245.38,336.36,368.5,280.2,170.29,111.11,72.75,54.95
1927,63.94,177.03,169.6,208.4,239.24,199.76,521.17,175.31,114.91,70.59,44.41,38.71
1928,40.18,43.46,147.66,303.09,229.48,183.08,169.69,141.18,85.8,59.01,45.36,49.42
1929,39.14,48.82,91.24,107.74,329.1,666.84,227.75,124.68,97.89,62.99,39.05,35.77
1930,33.18,96.16,85.88,233.71,247.19,335.58,222.74,121.74,83.46,62.81,39.23,33.96
1931,29.86,32.23,28.62,33.09,94.95,232.59,73.09,36.37,37.15,33.78,30.07,27.93
1932,35.2,31.5,103.75,176,125,392,353,150,105,72.1,52.1,46.7
1933,42.6,88.99,91.76,299.46,673.75,524.02,254.19,148.26,113.62,87.87,65.49,48.38
1934,44.67,43.55,80.35,143.6,231.38,356.66,359.77,130.29,106.01,75.77,49.42,40.69
1935,34.13,76.21,88.39,188.78,242.53,454.38,342.4,238.64,159.15,101.78,74.39,54.26
1936,49.94,85.02,80.96,227.15,192.33,308.79,136.17,73.7,73.18,55.38,51.93,59.53
1937,47.43,92.62,116.9,209.87,200.36,653.18,241.32,127.44,136.69,95.04,56.85,47.78
1938,44.24,182.74,340.59,268.62,605.75,554.69,381.37,239.59,179.97,132.62,79.83,77.67
1939,61.09,83.29,120.79,192.93,551.41,635.13,384.22,230.69,236.3,141.78,93.14,91.67
1940,80.01,109.12,119.32,107.14,388.71,388.11,193.97,128.13,120.96,104.54,96.16,89.25
1941,75.51,71.11,99.27,83.38,233.97,416.45,298.69,140.4,130.64,82.94,59.18,56.42
1942,47.95,64.28,276.91,184.98,487.64,645.34,250.99,201.92,149.65,103.42,72.49,72.92
1943,55.99,62.99,99.1,214.4,469.07,725.07,265.42,245.03,172.11,167.79,122.77,110.33
1944,61.95,70.24,68.6,208.14,211.42,223.26,240.54,143.94,124.5,127.44,107.74,148.95
1945,125.45,153.27,168.74,220.49,327.02,503.28,485.14,118.97,158.46,81.48,69.12,66.01
1946,61.77,109.3,103.42,79.75,273.72,301.02,284.43,127.09,90.29,75.17,43.63,43.46
1947,57.63,98.15,134.27,183.43,311.65,486.61,296.18,154.48,100.14,76.12,53.22,41.13
1948,38.79,122.6,124.41,113.96,187.66,299.63,538.79,163.46,128.65,106.79,72.06,51.58
1949,38.7,68.42,93.31,174.78,434.5,492.73,402.71,309.74,210.38,168.3,97.2,72.49
1950,49.68,88.47,155.26,178.33,272.59,467.16,530.58,265.08,188.87,152.32,99.19,74.82
1951,55.04,63.07,189.48,217.9,319.42,470.36,505.78,191.89,173.15,113.88,75.95,66.01
1952,47.6,56.59,78.02,122.34,348.71,734.91,300.33,196.38,146.1,107.74,104.54,58.67
1953,50.71,106.79,133.74,146.97,433.3,495.33,345.6,234.58,170.04,103.16,67.22,82.25
1954,51.15,142.64,147.74,68.94,186.27,281.49,317.52,121.3,114.56,73.35,43.2,38.36
1955,31.29,63.25,162.43,146.36,432.17,419.99,232.59,142.99,89.68,58.75,38.71,25.08
1956,28.12,113.69,92.71,189.99,520.56,647.22,273.46,154.4,125.89,63.07,37.15,27.17
1957,21.96,29.81,110.68,65.32,207.53,445.05,258.51,101.87,63.76,37.33,36.63,17.38
1958,17.2,40.14,52.29,89.94,179.63,313.2,180.75,82.77,55.47,32.92,19.67,14.89
1959,11.83,44.99,80.66,95.13,277.77,581.47,292.63,97.98,76.64,46.4,34.82,23.42
1960,15.15,31.19,31.65,55.33,177.55,359.77,187.4,104.46,163.3,58.32,34.56,20.71
1961,23.76,82.77,101.17,86.05,311.65,599.7,355.8,177.12,130.72,77.07,50.37,40
1962,26.98,57.28,39.92,130.46,228.61,165.02,303.61,103.77,79.75,37.15,26.51,22.82
1963,18.64,19.78,62.22,90.03,387.68,266.37,381.11,401.52,170.38,96.25,47.95,26.31
1964,21.56,134.53,99.71,210.21,198.81,472.69,387.85,201.74,141.18,74.65,45.19,26.58
1965,22.93,37.53,99.79,48.5,206.49,348.79,319.68,332.29,191.03,90.97,39.39,23.04
1966,16.94,50.35,61.48,51.99,322.62,433.3,195.09,153.1,102.38,59.53,26.91,26.66
1967,33.18,68.14,96.25,69.09,253.33,646.4,298.34,144.03,97.29,43.03,24.14,16.26
1968,47.17,76.46,99.88,132.71,364.44,243.13,221.36,112.06,67.91,38.71,27.37,17.78
1969,8.13,72.78,143.25,148.26,579.4,273.11,211.85,155,86.23,41.3,23.59,19.57
1970,23.93,208.2,275.96,357.01,782.27,757.38,376.19,216.26,270.52,109.56,46.83,32.24
1971,18.3,142,154,642,877,737,586,296,199,109,46.9,25.4
1972,49.1,27.56,65.79,32.64,381.97,341.19,361.84,325.47,230.52,83.2,34.39,42.97
1973,7.28,96.74,217.64,377.48,1158.28,1173.31,571.1,282.1,209.52,99.36,36.29,25.21
1974,23.4,115.43,131.59,61.86,440.21,555.9,294.54,393.9,143.68,142.99,31.66,14.81
1975,7.75,50.6,331.35,346.9,718.76,894.5,610.33,354.85,233.99,103.08,45.27,23.19
1976,20.1,84.5,102.82,33.01,202.35,386.73,353.38,189.82,132.71,96.6,11.03,7.96
1977,52.39,89.14,63.28,66.05,141.96,576.03,353.89,237.95,137.12,133.75,48.34,25.75
1978,10.59,96.32,91.9,525.29,551.36,660.02,425.23,185.14,165.89,57.68,27.48,4.8
1979,2.15,64.82,164.06,39.48,156.71,131.35,311,93,92.4,17.44,5.68,2.41
1980,7.34,38.5,155.57,137.4,179.6,637.02,194.41,123.23,128.38,53.91,23.73,5.75
1981,3.68,139.12,181.73,304.53,463.03,377.97,233.57,269.29,191.92,81.53,39.16,20.28
1982,29.79,49.52,109.2,43.8,98.12,290.61,223.96,112.39,72.09,28.18,16.37,7.19
1983,1.8,10.19,41.05,19.06,114.84,343.35,240.84,303.98,107.59,37.24,21.27,7.19
1984,11,69.99,141.39,106.84,200.92,353.69,290.34,133.42,60.98,17.23,10.68,13.06
1985,15.21,51.59,80.08,71.05,136.66,257.84,200.04,315.39,151.89,50.1,25.53,43.61
1986,45.4,106.04,120.98,126.75,223.63,290.51,120.63,82.61,71.99,43.61,23.34,30.38
1987,30.03,60.97,83.49,32.1,327.75,209.62,174.41,143.36,75.74,27.61,22.2,21.78
1988,63.93,123.05,271.12,208.52,223.75,203.34,205.34,154.22,101.77,33.73,14.23,17.32
1989,37.55,60.14,98.47,125.3,135.31,238.3,296.61,122.91,79.89,45.6,28.71,17.65
1990,58.51,125.43,136.01,67.95,117.5,167.83,131.38,99.33,51.86,37.68,37.27,36.5
1991,23.29,28.45,26.47,44.65,131.31,183.79,106.91,102.72,51.42,12.95,12.91,15.74
1992,17.63,15.37,12.29,41.19,111.09,192.2,123.79,81.08,89.98,23.73,12.42,13.42
1993,43.1,50.2,47.3,47,47.9,187,116,48.5,33.5,20.1,8.47,29.1
1994,30.6,57.8,114,118,612,735,289,163,142,64.1,23.8,24.6
1995,36.62,76.18,60.02,133.71,497.13,644.23,288.97,143.36,86.63,40.11,55.69,33.42
1996,61.36,67.86,153.84,120.81,247.84,325.42,160.59,123.61,59.54,27.7,22.37,24.63
1997,37.47,55.87,49.52,113.35,114.82,198.53,233.12,83.4,38.98,21.32,13.56,26.4
1998,55.01,52.82,24.57,42.96,78.04,122.47,26.09,32.93,16.67,7.11,12.37,16.81
1999,27.64,108.16,93.02,43.04,126.34,245.33,122.89,110.85,53.32,18.9,12.58,18.9
2000,50.65,129.41,140.74,149.85,166.91,177.02,158.25,110.44,52.33,26.3,14.9,35.72
2001,38.72,105.31,68.81,128.38,418.92,185.7,142.25,128.38,75.8,40.32,28.81,30.88
2002,38.74,91.12,76.42,75.18,190.4,485.51,221.92,287.65,167.76,116.74,47.92,48.14
2003,47.11,65.2,73.24,80.1,118.36,329.8,99.98,71.26,31.63,20.69,21.97,21.04
2004,14.9,54.3,135.7,219,328,573.4,198.1,97.7,62.8,36,33.7,60.5
2005,83.93,86.47,87.59,191.56,379.95,734.5,438.28,300.02,151.45,73.78,53.27,58.11
2006,84.68,146.19,179.95,187.46,422.63,489.31,361.12,137.45,73.76,43.38,35.16,46.7
2007,56.93,184.72,168.82,99.89,133.4,186.81,159.76,105.01,59.04,30.3,34.16,42.27
2008,58.72,107.3,79.9,88.7,227.85,320.45,202.97,140.56,53.9,30.59,20.27,50.47
2009,54.09,62.54,73.82,77.97,89.37,191.95,133.28,63.79,34.74,18.99,8.25,8.34
2010,6.37,34.79,40.47,77.6,296.98,442.66,238.63,121.54,39.56,22.53,14.14,39.4
2011,99.44,225.25,197.51,229.09,615.38,749.02,476.33,181.27,100.44,65.53,47.53,49.66
2012,51.72,78.23,68.89,70.8,89.7,282.87,108.29,75.53,28.72,11.87,17.01,23.92
2013,18.21,14.11,9.9,35.95,163.71,244.7,236.6,116.59,71.1,37.52,28.32,26.16
2014,42.04,51.33,47.25,94.23,168.57,216.09,90.3,71.18,30.7,28.61,18.7,15.55
2015,26.34,21.62,15.14,28.25,101.71,56.19,30.37,23.88,4.90,12.06,9.24,3.22
