ID,long,lat
1,61.25,26.25
2,61.25,28.75
3,61.25,31.25
4,61.25,33.75
5,61.25,36.25
6,61.25,38.75
7,61.25,41.25
8,61.25,43.75
9,61.25,46.25
10,61.25,48.75
11,61.25,51.25
12,61.25,53.75
13,61.25,56.25
14,63.75,26.25
15,63.75,28.75
16,63.75,31.25
17,63.75,33.75
18,63.75,36.25
19,63.75,38.75
20,63.75,41.25
21,63.75,43.75
22,63.75,46.25
23,63.75,48.75
24,63.75,51.25
25,63.75,53.75
26,63.75,56.25
27,66.25,23.75
28,66.25,26.25
29,66.25,28.75
30,66.25,31.25
31,66.25,33.75
32,66.25,36.25
33,66.25,38.75
34,66.25,41.25
35,66.25,43.75
36,66.25,46.25
37,66.25,48.75
38,66.25,51.25
39,66.25,53.75
40,66.25,56.25
41,68.75,21.25
42,68.75,23.75
43,68.75,26.25
44,68.75,28.75
45,68.75,31.25
46,68.75,33.75
47,68.75,36.25
48,68.75,38.75
49,68.75,41.25
50,68.75,43.75
51,68.75,46.25
52,68.75,48.75
53,68.75,51.25
54,68.75,53.75
55,68.75,56.25
56,71.25,21.25
57,71.25,23.75
58,71.25,26.25
59,71.25,28.75
60,71.25,31.25
61,71.25,33.75
62,71.25,36.25
63,71.25,38.75
64,71.25,41.25
65,71.25,43.75
66,71.25,46.25
67,71.25,48.75
68,71.25,51.25
69,71.25,53.75
70,71.25,56.25
71,73.75,13.75
72,73.75,16.25
73,73.75,18.75
74,73.75,21.25
75,73.75,23.75
76,73.75,26.25
77,73.75,28.75
78,73.75,31.25
79,73.75,33.75
80,73.75,36.25
81,73.75,38.75
82,73.75,41.25
83,73.75,43.75
84,73.75,46.25
85,73.75,48.75
86,73.75,51.25
87,73.75,53.75
88,73.75,56.25
89,76.25,8.75
90,76.25,11.25
91,76.25,13.75
92,76.25,16.25
93,76.25,18.75
94,76.25,21.25
95,76.25,23.75
96,76.25,26.25
97,76.25,28.75
98,76.25,31.25
99,76.25,33.75
100,76.25,36.25
101,76.25,38.75
102,76.25,41.25
103,76.25,43.75
104,76.25,46.25
105,76.25,48.75
106,76.25,51.25
107,76.25,53.75
108,76.25,56.25
109,78.75,6.25
110,78.75,8.75
111,78.75,11.25
112,78.75,13.75
113,78.75,16.25
114,78.75,18.75
115,78.75,21.25
116,78.75,23.75
117,78.75,26.25
118,78.75,28.75
119,78.75,31.25
120,78.75,33.75
121,78.75,36.25
122,78.75,38.75
123,78.75,41.25
124,78.75,43.75
125,78.75,46.25
126,78.75,48.75
127,78.75,51.25
128,78.75,53.75
129,78.75,56.25
130,81.25,6.25
131,81.25,16.25
132,81.25,18.75
133,81.25,21.25
134,81.25,23.75
135,81.25,26.25
136,81.25,28.75
137,81.25,31.25
138,81.25,33.75
139,81.25,36.25
140,81.25,38.75
141,81.25,41.25
142,81.25,43.75
143,81.25,46.25
144,81.25,48.75
145,81.25,51.25
146,81.25,53.75
147,81.25,56.25
148,83.75,18.75
149,83.75,21.25
150,83.75,23.75
151,83.75,26.25
152,83.75,28.75
153,83.75,31.25
154,83.75,33.75
155,83.75,36.25
156,83.75,38.75
157,83.75,41.25
158,83.75,43.75
159,83.75,46.25
160,83.75,48.75
161,83.75,51.25
162,83.75,53.75
163,83.75,56.25
164,86.25,21.25
165,86.25,23.75
166,86.25,26.25
167,86.25,28.75
168,86.25,31.25
169,86.25,33.75
170,86.25,36.25
171,86.25,38.75
172,86.25,41.25
173,86.25,43.75
174,86.25,46.25
175,86.25,48.75
176,86.25,51.25
177,86.25,53.75
178,86.25,56.25
179,88.75,21.25
180,88.75,23.75
181,88.75,26.25
182,88.75,28.75
183,88.75,31.25
184,88.75,33.75
185,88.75,36.25
186,88.75,38.75
187,88.75,41.25
188,88.75,43.75
189,88.75,46.25
190,88.75,48.75
191,88.75,51.25
192,88.75,53.75
193,88.75,56.25
194,91.25,21.25
195,91.25,23.75
196,91.25,26.25
197,91.25,28.75
198,91.25,31.25
199,91.25,33.75
200,91.25,36.25
201,91.25,38.75
202,91.25,41.25
203,91.25,43.75
204,91.25,46.25
205,91.25,48.75
206,91.25,51.25
207,91.25,53.75
208,91.25,56.25
209,93.75,16.25
210,93.75,18.75
211,93.75,21.25
212,93.75,23.75
213,93.75,26.25
214,93.75,28.75
215,93.75,31.25
216,93.75,33.75
217,93.75,36.25
218,93.75,38.75
219,93.75,41.25
220,93.75,43.75
221,93.75,46.25
222,93.75,48.75
223,93.75,51.25
