long,lat
-106.08,26.4
-106.08,26.4
-111.32,45.3
-120.45,43.58
-118.92,42.67
-109.8,37.93330014
-121.33,47.88
-104.97,38.77
-105.5,37.78
-105.52,40.02
-106.52,39.95
-85.92,30.45
-118.55,36.45
-118.92,36.95
-79.28,48.47
-126.35,50.22
-118.3333001,52.68330014
-116.0833001,49.56669986
20,41
-71.33,-42.5
-65,-24
-110.6,42.8
-105.3,38.4
-0.683300141,40.38330014
12.1,49.01669986
12.1,49.01669986
12.1,49.01669986
12.1,49.01669986
12.1,49.01669986
74.93330014,35.9
8.683300141,47.48330014
7.916699859,47.33330014
7.25,47.16669986
7.383300141,47.13330014
7.383300141,47.13330014
58.36669986,68.65
-142.0666999,61.13330014
-152.3166999,57.61669986
89.5,27.46669986
90.15,27.45
91.18330014,27.48330014
89.31669986,27.38330014
-116.6833001,49.58330014
-61,56
-115.92,67.23
-142.35,68.78330014
82.13330014,42.88330014
81.71669986,42.8
100.2833001,30.86669986
93.3,43.85
93.3,43.81669986
111.7833001,-7.5
110.2666999,-7.033300141
98.23330014,19.01669986
90.96669986,47.1
94.88,49.37
160.5,55
-113.75,48.91669986
-120.45,48.26669986
72.58330014,40.16669986
74.03330014,36.33330014
75.41669986,36.58330014
75.08330014,36.58330014
12.56669986,48.88330014
12.56669986,48.88330014
12.33330014,48.83330014
12.1,49.01669986
-144.15,63.71669986
20.13330014,40.7
145.7,-41.55
146.34,-42.6
-116.44,52.19
-116.3980004,52.0480004
-116.45,52
-116.0833001,49.56669986
24.15,67.5
-84.83,32.83
43.48330014,41.71669986
42.71669986,41.61669986
42.85,41.81669986
22.25,57.21669986
106.2011004,49.9385003
-4.916699859,32.53330014
174.7666999,-36.85
174.6333001,-36.78330014
174.7666999,-36.85
174.7666999,-36.85
-74.5,41
-73.39,43.09
-74.02,42.98
-74.31,42.04
-74.18,41.77
-73.92,43.43
-74,42.9
-74,41.65
-72.59870046,42.79959968
19.08330014,49.28330014
20.03330014,49.25
20.13330014,49.55
7.162800241,46.94970026
9.274200362,47.58280024
8.713300141,47.04579964
9.009200362,46.12610038
7.34,47.01
-159.62,67.07
-148.33,60.45
-135.8666999,58.61669986
98.86669986,31.95
97.03330014,31.11669986
91.51669986,30.3
97.5425005,37.45140012
110.0781,34.46420036
98.22110038,36.74780024
98.41610038,36.67939952
142.1833001,44.35
-91.2,37.2
-118.68,44.31
74.18330014,35.88330014
74.18330014,36.15
71.8,35.35
87.83330014,50.26669986
87.91669986,50.11669986
160.5,55
-136.5933001,59.76219976
-129.6574995,59.19330014
-139.5619,59.53330014
-139.2919,59.53529974
-121,40
-127.2833001,53.76669986
-116.65,49.62
-130.0166999,56.05
-116.6833001,51.65
-117.3666999,50.63330014
-115.7833001,51.06669986
-117.1293995,49.43610038
-117.9457996,52.59169986
99.33330014,38.56669986
7.466699859,44.1
9.083300141,51.15
7.033300141,50.68330014
6.35,50.56669986
6.566699859,50.5
8.116699859,50.71669986
8.116699859,50.71669986
6.833300141,50.78330014
7.716699859,50.96669986
6.833300141,51.55
-96.78330014,46.85
-5.333300141,32.41669986
-110.6833001,45
20.08330014,49.21669986
23.06669986,45.3
60.01669986,67.81669986
-4.041100382,40.7875005
-82.36669986,37.98330014
10.21669986,46.66669986
6.222500503,46.56
7.774399517,46.96079964
6.783300141,47.05
7.4,47.3
7.214399517,46.48190002
8.1,46.38330014
9.183300141,46.45889962
7.886400121,47.26309998
8.755,47.6575005
8.441699859,47.37690002
7.68809998,47.42719976
-71.6,-40.75
-72.41,53.86
-121.4,37.16669986
-162.2166999,67.48330014
-73.75,42.63330014
-80.43330014,37.26669986
-125.89,52.43
-127.56,54.85
-95.91669986,35.53330014
-134.7666999,68.13330014
-134.2666999,68.4
-134.6333001,68.53330014
-133.8166999,68.43330014
-110.2093995,43.57269966
-150.84,60.80669986
171.8,-43.15
-78.68,35.82
-78.88,35.65
11.75,47.63
11.77,43.67
18.33,49.83
9.08,48.57
-90.42,38.25
-105.5,57.07
9.05,46.78
9.88,46.78
9.5,47.75
9.5,47.75
-121.57,36.07
-64.67,-54.7
-67.08,-54.5
-71.17,-53.5
-68.18,-54.78
-0.88,53.63
-116.08,44.43
-111.63,40.57
26.88,68.87
20.13,66.78
27.25,67
28.07,68.45
-105.67,33.33
-105.5,36.58
27.45,68.13
-2.63,39.38
-105.87,39.87
-105.93,39.88
-119.15,48.57
-118.75,48.25
-122.58,47.03
-120.65,48.72
-120.12,45.15
-118.8,48.5
-117.17,48.3
-121.75,48.35
-61.6,57.92
146,-42.33
146,-42.33
-5,32.33
-5.35,32.47
-4.2,33.78
-4.9,32.55
-79.22,41.32
-74.18,41.77
-80.5,37.38
-74.17,41.77
-85.57,35.45
-74.18,41.77
